B2,B3,B4,B8,B11,B12,NDVI,NDMI,NBR,BSI,EVI,Elevation,Slope,Eastness,Northness,Label
0.0448394,0.0659664,0.052977152,0.2854622,0.20536998,0.10912361,0.6869327,0.16317639,0.44689542,-0.122236684,0.45872062,1207.0,28.471851,-0.17282796,-0.9839848,1
0.04424903,0.06543177,0.05234015,0.28478134,0.20369709,0.10827783,0.6894879,0.16599351,0.44905075,-0.124760166,0.4586613,1108.0,23.607914,0.96530825,0.26007655,1
0.043437257,0.06474543,0.052647404,0.27967468,0.20179191,0.108324565,0.68315434,0.16176152,0.44162488,-0.11890308,0.44698164,899.0,27.603184,0.85159796,0.5240056,1
0.042125475,0.06353417,0.04801879,0.28930524,0.19688545,0.10285115,0.71529573,0.19008958,0.4754585,-0.15013227,0.47818244,1267.0,31.23013,0.97553414,-0.19549903,1
0.04259531,0.06385457,0.047596294,0.29323483,0.19797753,0.10276272,0.72070456,0.19392285,0.48099315,-0.15523855,0.48763046,739.0,36.025005,-0.77975994,-0.60152715,1
0.04351626,0.064546235,0.047997538,0.29658234,0.20051493,0.103809774,0.72141415,0.19325677,0.48145944,-0.15559703,0.49393114,944.0,20.869503,0.933488,0.35612604,1
0.046834458,0.068122305,0.061906632,0.26375952,0.21321203,0.11871351,0.61981535,0.10597591,0.379232,-0.060567793,0.39303386,934.0,25.045534,0.7049272,-0.7084849,1
0.043471888,0.06468018,0.05016376,0.28858843,0.20104034,0.10577579,0.7038321,0.17880504,0.46356297,-0.13862704,0.4717425,894.0,21.216791,-0.64838463,-0.75578123,1
0.043041795,0.06313978,0.06527219,0.2361993,0.20693201,0.12615302,0.5669761,0.06604655,0.30369967,-0.012760834,0.3274418,377.0,25.628443,0.9921033,-0.0033285168,1
0.041299235,0.06291429,0.048544943,0.28323853,0.19494317,0.10291932,0.70736974,0.18464813,0.46695727,-0.14268655,0.4639079,869.0,20.255615,0.13413817,0.9812145,1
0.040298935,0.06069725,0.060381353,0.23964114,0.19838586,0.119906634,0.5974878,0.09418433,0.3330142,-0.03930309,0.34481332,426.0,20.912575,0.53480643,0.8449034,1
0.042687055,0.06406962,0.053465363,0.2731793,0.20027727,0.10909352,0.672639,0.15397827,0.42923737,-0.1090638,0.4312112,1128.0,35.431656,0.48678434,-0.8690359,1
0.04271537,0.06397931,0.048148558,0.29188564,0.19846042,0.103370935,0.7168017,0.19052917,0.47694263,-0.15139458,0.48344737,644.0,27.30514,-0.9585875,-0.25423497,1
0.04079195,0.060337342,0.06450251,0.22915375,0.20199814,0.12698191,0.5606938,0.062983856,0.2868902,-0.006421987,0.31416497,651.0,19.836071,-0.93119544,0.35333705,1
0.0429368,0.06416341,0.04845668,0.2919293,0.1991315,0.10381343,0.71528393,0.18897416,0.4753489,-0.1498451,0.48283404,689.0,26.281013,0.5558618,0.82237995,1
0.0402,0.0596,0.0643,0.2273,0.2007,0.1272,0.55898494,0.06214954,0.28236952,-0.004694838,0.31068924,857.0,25.065207,0.91949403,-0.39006343,1
0.041827876,0.06162771,0.06485691,0.23239784,0.20426992,0.12660027,0.5636274,0.06441493,0.29470232,-0.009384129,0.32026505,379.0,22.821394,-0.9814205,0.1850923,1
0.041913237,0.06334231,0.047299128,0.29075557,0.1960983,0.10198725,0.72016877,0.19442646,0.48064104,-0.15496722,0.48297143,774.0,25.266428,-0.98435104,0.14555536,1
0.042035457,0.0634341,0.047352377,0.29119983,0.19643503,0.10212621,0.72026545,0.19433556,0.48070455,-0.15501621,0.48380584,623.0,21.43575,0.6431177,-0.74054945,1
0.041809153,0.06326414,0.04725378,0.29037726,0.19581152,0.10186892,0.7200863,0.19450414,0.4805868,-0.1549254,0.48226106,673.0,28.041435,-0.8904566,0.45177856,1
0.042795587,0.06417634,0.05300307,0.27529272,0.20035689,0.10856517,0.67710173,0.1575442,0.4343471,-0.11327072,0.43677184,925.0,29.74252,0.72958934,0.6652538,1
0.04239255,0.063702285,0.047507957,0.2924978,0.19741888,0.10253219,0.7205462,0.19407162,0.48088908,-0.15515842,0.4862448,609.0,27.060345,-0.88131464,0.46647206,1
0.046891462,0.06815092,0.063257016,0.25940952,0.2138851,0.12032838,0.6079109,0.09618621,0.3662556,-0.04997722,0.38094798,624.0,20.268261,-0.43515775,-0.8818944,1
0.039928734,0.059519626,0.06329029,0.22918881,0.19948433,0.1255272,0.56721497,0.06929401,0.29223832,-0.011925208,0.31672958,470.0,22.67593,0.506249,-0.85855216,1
0.038866844,0.060466032,0.05279672,0.25707978,0.19091052,0.10796168,0.65924025,0.14770244,0.40849635,-0.09680165,0.39825645,1055.0,29.44327,0.9296388,0.36629528,1
0.04279138,0.06372448,0.059767146,0.25264522,0.20337991,0.11753635,0.617383,0.108032,0.36498,-0.057806104,0.37370414,366.0,27.731028,-0.26510447,0.9620504,1
0.03940007,0.060134076,0.0580098,0.2430293,0.19504197,0.11631289,0.61460286,0.10954228,0.35263437,-0.05486206,0.3570185,649.0,26.749119,0.39758047,-0.90176785,1
0.041432966,0.061135802,0.06472181,0.23116115,0.20340388,0.12674576,0.5625175,0.06387369,0.29173896,-0.008263854,0.317937,530.0,22.777723,0.26200533,-0.9633643,1
0.039401025,0.06137719,0.048428334,0.27407002,0.19010043,0.10188566,0.6996677,0.1809025,0.45799112,-0.13576505,0.4444802,358.0,22.924345,0.624105,-0.77962613,1
0.043397263,0.064456865,0.047945693,0.2961498,0.20018706,0.10367449,0.7213233,0.19334196,0.48139974,-0.15555121,0.49311635,824.0,20.851854,0.95412046,0.28408712,1
0.04276194,0.06402487,0.04832142,0.29150996,0.1986351,0.10356773,0.71561533,0.18948443,0.47570956,-0.15022558,0.48223987,656.0,14.006082,0.87964314,-0.043080337,1
0.041401077,0.06109608,0.06471089,0.23106128,0.20333394,0.1267575,0.56242746,0.06382974,0.2914989,-0.008172916,0.31774914,518.0,23.884775,0.6512762,-0.7546748,1
0.042277962,0.063728616,0.05179373,0.27690977,0.1986218,0.10702279,0.68486047,0.16463254,0.4424917,-0.12073703,0.44293693,984.0,29.034155,0.9894228,0.14084245,1
0.041979436,0.06339203,0.04732797,0.2909962,0.19628069,0.102062516,0.72022116,0.19437718,0.48067546,-0.15499377,0.48342332,807.0,29.21372,0.87617826,-0.48122418,1
0.045504473,0.066470824,0.0637944,0.2514896,0.21117516,0.121857494,0.59532106,0.08713534,0.34721607,-0.038506866,0.36291417,361.0,22.079132,0.52428615,0.8510533,1
0.04242674,0.06385352,0.052358776,0.27569982,0.19920671,0.10772452,0.6807962,0.16106983,0.43809244,-0.11683694,0.4390766,1096.0,26.27099,0.2079895,0.9769583,1
